Domain,Area,Element,Item,Year,Value
"Crops and livestock products,""Russian Federation"",""Production"",""Chick peas, dry"",""2004"",""0"""
"Crops and livestock products,""Russian Federation"",""Production"",""Chick peas, dry"",""2005"",""0"""
"Crops and livestock products,""Russian Federation"",""Production"",""Chick peas, dry"",""2006"",""0"""
"Crops and livestock products,""Russian Federation"",""Production"",""Chick peas, dry"",""2007"",""0"""
"Crops and livestock products,""Russian Federation"",""Production"",""Chick peas, dry"",""2008"",""0"""
"Crops and livestock products,""Russian Federation"",""Production"",""Chick peas, dry"",""2009"",""0"""
"Crops and livestock products,""Russian Federation"",""Production"",""Chick peas, dry"",""2010"",""0"""
"Crops and livestock products,""Russian Federation"",""Production"",""Chick peas, dry"",""2011"",""0"""
"Crops and livestock products,""Russian Federation"",""Production"",""Chick peas, dry"",""2012"",""0"""
"Crops and livestock products,""Russian Federation"",""Production"",""Chick peas, dry"",""2013"",""0"""
"Crops and livestock products,""Russian Federation"",""Production"",""Chick peas, dry"",""2014"",""0"""
"Crops and livestock products,""Russian Federation"",""Production"",""Chick peas, dry"",""2015"",""0"""
"Crops and livestock products,""Russian Federation"",""Production"",""Chick peas, dry"",""2016"",""319969"""
"Crops and livestock products,""Russian Federation"",""Production"",""Chick peas, dry"",""2017"",""418646.2"""
"Crops and livestock products,""Russian Federation"",""Production"",""Chick peas, dry"",""2018"",""620400"""
"Crops and livestock products,""Russian Federation"",""Production"",""Chick peas, dry"",""2019"",""506166.1"""
"Crops and livestock products,""Russian Federation"",""Production"",""Chick peas, dry"",""2020"",""291132.9"""
"Crops and livestock products,""Russian Federation"",""Production"",""Chick peas, dry"",""2021"",""316840.4"""
"Crops and livestock products,""Russian Federation"",""Production"",""Chicory roots"",""2014"",""0"""
"Crops and livestock products,""Russian Federation"",""Production"",""Chicory roots"",""2015"",""0"""
"Crops and livestock products,""Russian Federation"",""Production"",""Chicory roots"",""2016"",""0"""
"Crops and livestock products,""Russian Federation"",""Production"",""Chicory roots"",""2017"",""0"""
"Crops and livestock products,""Russian Federation"",""Production"",""Chicory roots"",""2018"",""0"""
"Crops and livestock products,""Russian Federation"",""Production"",""Chicory roots"",""2019"",""0"""
"Crops and livestock products,""Russian Federation"",""Production"",""Chicory roots"",""2020"",""25.3"""
"Crops and livestock products,""Russian Federation"",""Production"",""Chicory roots"",""2021"",""38"""
"Crops and livestock products,""Russian Federation"",""Production"",""Cow peas, dry"",""2003"",""0"""
"Crops and livestock products,""Russian Federation"",""Production"",""Cow peas, dry"",""2004"",""0"""
"Crops and livestock products,""Russian Federation"",""Production"",""Cow peas, dry"",""2005"",""0"""
"Crops and livestock products,""Russian Federation"",""Production"",""Cow peas, dry"",""2006"",""0"""
"Crops and livestock products,""Russian Federation"",""Production"",""Cow peas, dry"",""2007"",""0"""
"Crops and livestock products,""Russian Federation"",""Production"",""Cow peas, dry"",""2008"",""0"""
"Crops and livestock products,""Russian Federation"",""Production"",""Cow peas, dry"",""2009"",""0"""
"Crops and livestock products,""Russian Federation"",""Production"",""Cow peas, dry"",""2010"",""0"""
"Crops and livestock products,""Russian Federation"",""Production"",""Cow peas, dry"",""2011"",""0"""
"Crops and livestock products,""Russian Federation"",""Production"",""Cow peas, dry"",""2012"",""0"""
"Crops and livestock products,""Russian Federation"",""Production"",""Cow peas, dry"",""2013"",""0"""
"Crops and livestock products,""Russian Federation"",""Production"",""Cow peas, dry"",""2014"",""0"""
"Crops and livestock products,""Russian Federation"",""Production"",""Cow peas, dry"",""2015"",""0"""
"Crops and livestock products,""Russian Federation"",""Production"",""Cow peas, dry"",""2016"",""0"""
"Crops and livestock products,""Russian Federation"",""Production"",""Cow peas, dry"",""2017"",""0"""
"Crops and livestock products,""Russian Federation"",""Production"",""Cow peas, dry"",""2018"",""0"""
"Crops and livestock products,""Russian Federation"",""Production"",""Cow peas, dry"",""2019"",""0"""
"Crops and livestock products,""Russian Federation"",""Production"",""Cow peas, dry"",""2020"",""0"""
"Crops and livestock products,""Russian Federation"",""Production"",""Cow peas, dry"",""2021"",""0"""
"Crops and livestock products,""Russian Federation"",""Production"",""Cucumbers and gherkins"",""1992"",""330000"""
"Crops and livestock products,""Russian Federation"",""Production"",""Cucumbers and gherkins"",""1993"",""328000"""
"Crops and livestock products,""Russian Federation"",""Production"",""Cucumbers and gherkins"",""1994"",""330000"""
"Crops and livestock products,""Russian Federation"",""Production"",""Cucumbers and gherkins"",""1995"",""450000"""
"Crops and livestock products,""Russian Federation"",""Production"",""Cucumbers and gherkins"",""1996"",""500000"""
"Crops and livestock products,""Russian Federation"",""Production"",""Cucumbers and gherkins"",""1997"",""1096682"""
"Crops and livestock products,""Russian Federation"",""Production"",""Cucumbers and gherkins"",""1998"",""1024374"""
"Crops and livestock products,""Russian Federation"",""Production"",""Cucumbers and gherkins"",""1999"",""983212"""
"Crops and livestock products,""Russian Federation"",""Production"",""Cucumbers and gherkins"",""2000"",""948461"""
"Crops and livestock products,""Russian Federation"",""Production"",""Cucumbers and gherkins"",""2001"",""933448"""
"Crops and livestock products,""Russian Federation"",""Production"",""Cucumbers and gherkins"",""2002"",""949097"""
"Crops and livestock products,""Russian Federation"",""Production"",""Cucumbers and gherkins"",""2003"",""1029243"""
"Crops and livestock products,""Russian Federation"",""Production"",""Cucumbers and gherkins"",""2004"",""1000095"""
"Crops and livestock products,""Russian Federation"",""Production"",""Cucumbers and gherkins"",""2005"",""1033615"""
"Crops and livestock products,""Russian Federation"",""Production"",""Cucumbers and gherkins"",""2006"",""1004731"""
"Crops and livestock products,""Russian Federation"",""Production"",""Cucumbers and gherkins"",""2007"",""1001314"""
"Crops and livestock products,""Russian Federation"",""Production"",""Cucumbers and gherkins"",""2008"",""1129920"""
"Crops and livestock products,""Russian Federation"",""Production"",""Cucumbers and gherkins"",""2009"",""1132730"""
"Crops and livestock products,""Russian Federation"",""Production"",""Cucumbers and gherkins"",""2010"",""1161865"""
"Crops and livestock products,""Russian Federation"",""Production"",""Cucumbers and gherkins"",""2011"",""1570735"""
"Crops and livestock products,""Russian Federation"",""Production"",""Cucumbers and gherkins"",""2012"",""1685930"""
"Crops and livestock products,""Russian Federation"",""Production"",""Cucumbers and gherkins"",""2013"",""1700700"""
"Crops and livestock products,""Russian Federation"",""Production"",""Cucumbers and gherkins"",""2014"",""1820123"""
"Crops and livestock products,""Russian Federation"",""Production"",""Cucumbers and gherkins"",""2015"",""1910062.9"""
"Crops and livestock products,""Russian Federation"",""Production"",""Cucumbers and gherkins"",""2016"",""1493293"""
"Crops and livestock products,""Russian Federation"",""Production"",""Cucumbers and gherkins"",""2017"",""1504965"""
"Crops and livestock products,""Russian Federation"",""Production"",""Cucumbers and gherkins"",""2018"",""1604346"""
"Crops and livestock products,""Russian Federation"",""Production"",""Cucumbers and gherkins"",""2019"",""1626412"""
"Crops and livestock products,""Russian Federation"",""Production"",""Cucumbers and gherkins"",""2020"",""1686975.5"""
"Crops and livestock products,""Russian Federation"",""Production"",""Cucumbers and gherkins"",""2021"",""1648639"""
"Crops and livestock products,""Russian Federation"",""Production"",""Currants"",""1992"",""155000"""
"Crops and livestock products,""Russian Federation"",""Production"",""Currants"",""1993"",""178600"""
"Crops and livestock products,""Russian Federation"",""Production"",""Currants"",""1994"",""181700"""
"Crops and livestock products,""Russian Federation"",""Production"",""Currants"",""1995"",""175000"""
"Crops and livestock products,""Russian Federation"",""Production"",""Currants"",""1996"",""190000"""
"Crops and livestock products,""Russian Federation"",""Production"",""Currants"",""1997"",""200000"""
"Crops and livestock products,""Russian Federation"",""Production"",""Currants"",""1998"",""204000"""
"Crops and livestock products,""Russian Federation"",""Production"",""Currants"",""1999"",""206000"""
"Crops and livestock products,""Russian Federation"",""Production"",""Currants"",""2000"",""260000"""
"Crops and livestock products,""Russian Federation"",""Production"",""Currants"",""2001"",""285000"""
"Crops and livestock products,""Russian Federation"",""Production"",""Currants"",""2002"",""347000"""
"Crops and livestock products,""Russian Federation"",""Production"",""Currants"",""2003"",""345000"""
"Crops and livestock products,""Russian Federation"",""Production"",""Currants"",""2004"",""396000"""
"Crops and livestock products,""Russian Federation"",""Production"",""Currants"",""2005"",""431500"""
"Crops and livestock products,""Russian Federation"",""Production"",""Currants"",""2006"",""447000"""
"Crops and livestock products,""Russian Federation"",""Production"",""Currants"",""2007"",""456900"""
"Crops and livestock products,""Russian Federation"",""Production"",""Currants"",""2008"",""357000"""
"Crops and livestock products,""Russian Federation"",""Production"",""Currants"",""2009"",""367000"""
"Crops and livestock products,""Russian Federation"",""Production"",""Currants"",""2010"",""327000"""
"Crops and livestock products,""Russian Federation"",""Production"",""Currants"",""2011"",""365000"""
"Crops and livestock products,""Russian Federation"",""Production"",""Currants"",""2012"",""346000"""
"Crops and livestock products,""Russian Federation"",""Production"",""Currants"",""2013"",""372700"""
"Crops and livestock products,""Russian Federation"",""Production"",""Currants"",""2014"",""372000"""
"Crops and livestock products,""Russian Federation"",""Production"",""Currants"",""2015"",""360000"""
"Crops and livestock products,""Russian Federation"",""Production"",""Currants"",""2016"",""364200"""
"Crops and livestock products,""Russian Federation"",""Production"",""Currants"",""2017"",""319800"""
"Crops and livestock products,""Russian Federation"",""Production"",""Currants"",""2018"",""398000"""
"Crops and livestock products,""Russian Federation"",""Production"",""Currants"",""2019"",""417600"""
"Crops and livestock products,""Russian Federation"",""Production"",""Currants"",""2020"",""436900"""
"Crops and livestock products,""Russian Federation"",""Production"",""Currants"",""2021"",""474400"""
"Crops and livestock products,""Russian Federation"",""Production"",""Flax, processed but not spun"",""1992"",""77940"""
"Crops and livestock products,""Russian Federation"",""Production"",""Flax, processed but not spun"",""1993"",""58180"""
"Crops and livestock products,""Russian Federation"",""Production"",""Flax, processed but not spun"",""1994"",""54100"""
"Crops and livestock products,""Russian Federation"",""Production"",""Flax, processed but not spun"",""1995"",""68688"""
"Crops and livestock products,""Russian Federation"",""Production"",""Flax, processed but not spun"",""1996"",""59959"""
"Crops and livestock products,""Russian Federation"",""Production"",""Flax, processed but not spun"",""1997"",""23000"""
"Crops and livestock products,""Russian Federation"",""Production"",""Flax, processed but not spun"",""1998"",""33697"""
"Crops and livestock products,""Russian Federation"",""Production"",""Flax, processed but not spun"",""1999"",""23704"""
"Crops and livestock products,""Russian Federation"",""Production"",""Flax, processed but not spun"",""2000"",""51175"""
"Crops and livestock products,""Russian Federation"",""Production"",""Flax, processed but not spun"",""2001"",""58000"""
"Crops and livestock products,""Russian Federation"",""Production"",""Flax, processed but not spun"",""2002"",""37730"""
"Crops and livestock products,""Russian Federation"",""Production"",""Flax, processed but not spun"",""2003"",""55290"""
"Crops and livestock products,""Russian Federation"",""Production"",""Flax, processed but not spun"",""2004"",""57790"""
"Crops and livestock products,""Russian Federation"",""Production"",""Flax, processed but not spun"",""2005"",""55890"""
"Crops and livestock products,""Russian Federation"",""Production"",""Flax, processed but not spun"",""2006"",""36110"""
"Crops and livestock products,""Russian Federation"",""Production"",""Flax, processed but not spun"",""2007"",""47490"""
"Crops and livestock products,""Russian Federation"",""Production"",""Flax, processed but not spun"",""2008"",""52480"""
"Crops and livestock products,""Russian Federation"",""Production"",""Flax, processed but not spun"",""2009"",""52264"""
"Crops and livestock products,""Russian Federation"",""Production"",""Flax, processed but not spun"",""2010"",""35220"""
"Crops and livestock products,""Russian Federation"",""Production"",""Flax, processed but not spun"",""2011"",""43450"""
"Crops and livestock products,""Russian Federation"",""Production"",""Flax, processed but not spun"",""2012"",""46054"""
"Crops and livestock products,""Russian Federation"",""Production"",""Flax, processed but not spun"",""2013"",""39039"""
"Crops and livestock products,""Russian Federation"",""Production"",""Flax, processed but not spun"",""2014"",""37178"""
"Crops and livestock products,""Russian Federation"",""Production"",""Flax, processed but not spun"",""2015"",""45225.3"""
"Crops and livestock products,""Russian Federation"",""Production"",""Flax, processed but not spun"",""2016"",""41240"""
"Crops and livestock products,""Russian Federation"",""Production"",""Flax, processed but not spun"",""2017"",""38795"""
"Crops and livestock products,""Russian Federation"",""Production"",""Flax, processed but not spun"",""2018"",""36715"""
"Crops and livestock products,""Russian Federation"",""Production"",""Flax, processed but not spun"",""2019"",""38464"""
"Crops and livestock products,""Russian Federation"",""Production"",""Flax, processed but not spun"",""2020"",""39262.3"""
"Crops and livestock products,""Russian Federation"",""Production"",""Flax, processed but not spun"",""2021"",""25947"""
"Crops and livestock products,""Russian Federation"",""Production"",""Gooseberries"",""1992"",""26000"""
"Crops and livestock products,""Russian Federation"",""Production"",""Gooseberries"",""1993"",""30200"""
"Crops and livestock products,""Russian Federation"",""Production"",""Gooseberries"",""1994"",""30700"""
"Crops and livestock products,""Russian Federation"",""Production"",""Gooseberries"",""1995"",""32000"""
"Crops and livestock products,""Russian Federation"",""Production"",""Gooseberries"",""1996"",""35000"""
"Crops and livestock products,""Russian Federation"",""Production"",""Gooseberries"",""1997"",""36000"""
"Crops and livestock products,""Russian Federation"",""Production"",""Gooseberries"",""1998"",""36700"""
"Crops and livestock products,""Russian Federation"",""Production"",""Gooseberries"",""1999"",""45000"""
"Crops and livestock products,""Russian Federation"",""Production"",""Gooseberries"",""2000"",""50000"""
"Crops and livestock products,""Russian Federation"",""Production"",""Gooseberries"",""2001"",""50000"""
"Crops and livestock products,""Russian Federation"",""Production"",""Gooseberries"",""2002"",""60100"""
"Crops and livestock products,""Russian Federation"",""Production"",""Gooseberries"",""2003"",""59030"""
"Crops and livestock products,""Russian Federation"",""Production"",""Gooseberries"",""2004"",""60500"""
"Crops and livestock products,""Russian Federation"",""Production"",""Gooseberries"",""2005"",""64000"""
"Crops and livestock products,""Russian Federation"",""Production"",""Gooseberries"",""2006"",""65000"""
"Crops and livestock products,""Russian Federation"",""Production"",""Gooseberries"",""2007"",""67000"""
"Crops and livestock products,""Russian Federation"",""Production"",""Gooseberries"",""2008"",""52000"""
"Crops and livestock products,""Russian Federation"",""Production"",""Gooseberries"",""2009"",""54000"""
"Crops and livestock products,""Russian Federation"",""Production"",""Gooseberries"",""2010"",""48000"""
"Crops and livestock products,""Russian Federation"",""Production"",""Gooseberries"",""2011"",""54000"""
"Crops and livestock products,""Russian Federation"",""Production"",""Gooseberries"",""2012"",""51000"""
"Crops and livestock products,""Russian Federation"",""Production"",""Gooseberries"",""2013"",""55000"""
"Crops and livestock products,""Russian Federation"",""Production"",""Gooseberries"",""2014"",""55000"""
"Crops and livestock products,""Russian Federation"",""Production"",""Gooseberries"",""2015"",""53300"""
"Crops and livestock products,""Russian Federation"",""Production"",""Gooseberries"",""2016"",""60700"""
"Crops and livestock products,""Russian Federation"",""Production"",""Gooseberries"",""2017"",""53300"""
"Crops and livestock products,""Russian Federation"",""Production"",""Gooseberries"",""2018"",""66300"""
"Crops and livestock products,""Russian Federation"",""Production"",""Gooseberries"",""2019"",""69600"""
"Crops and livestock products,""Russian Federation"",""Production"",""Gooseberries"",""2020"",""72800"""
"Crops and livestock products,""Russian Federation"",""Production"",""Gooseberries"",""2021"",""79100"""
"Crops and livestock products,""Russian Federation"",""Production"",""Grapes"",""1992"",""529260"""
"Crops and livestock products,""Russian Federation"",""Production"",""Grapes"",""1993"",""467480"""
"Crops and livestock products,""Russian Federation"",""Production"",""Grapes"",""1994"",""310550"""
"Crops and livestock products,""Russian Federation"",""Production"",""Grapes"",""1995"",""300560"""
"Crops and livestock products,""Russian Federation"",""Production"",""Grapes"",""1996"",""345999"""
"Crops and livestock products,""Russian Federation"",""Production"",""Grapes"",""1997"",""279767"""
"Crops and livestock products,""Russian Federation"",""Production"",""Grapes"",""1998"",""192334"""
"Crops and livestock products,""Russian Federation"",""Production"",""Grapes"",""1999"",""248058"""
"Crops and livestock products,""Russian Federation"",""Production"",""Grapes"",""2000"",""278769"""
"Crops and livestock products,""Russian Federation"",""Production"",""Grapes"",""2001"",""232629"""
"Crops and livestock products,""Russian Federation"",""Production"",""Grapes"",""2002"",""213606"""
"Crops and livestock products,""Russian Federation"",""Production"",""Grapes"",""2003"",""341108"""
"Crops and livestock products,""Russian Federation"",""Production"",""Grapes"",""2004"",""308705"""
"Crops and livestock products,""Russian Federation"",""Production"",""Grapes"",""2005"",""321824"""
"Crops and livestock products,""Russian Federation"",""Production"",""Grapes"",""2006"",""234105"""
"Crops and livestock products,""Russian Federation"",""Production"",""Grapes"",""2007"",""315031"""
"Crops and livestock products,""Russian Federation"",""Production"",""Grapes"",""2008"",""267880"""
"Crops and livestock products,""Russian Federation"",""Production"",""Grapes"",""2009"",""298720"""
"Crops and livestock products,""Russian Federation"",""Production"",""Grapes"",""2010"",""324290"""
"Crops and livestock products,""Russian Federation"",""Production"",""Grapes"",""2011"",""412381.8"""
"Crops and livestock products,""Russian Federation"",""Production"",""Grapes"",""2012"",""266877"""
"Crops and livestock products,""Russian Federation"",""Production"",""Grapes"",""2013"",""439100"""
"Crops and livestock products,""Russian Federation"",""Production"",""Grapes"",""2014"",""528548.5"""
"Crops and livestock products,""Russian Federation"",""Production"",""Grapes"",""2015"",""475197"""
"Crops and livestock products,""Russian Federation"",""Production"",""Grapes"",""2016"",""601333"""
"Crops and livestock products,""Russian Federation"",""Production"",""Grapes"",""2017"",""580077"""
"Crops and livestock products,""Russian Federation"",""Production"",""Grapes"",""2018"",""627739"""
"Crops and livestock products,""Russian Federation"",""Production"",""Grapes"",""2019"",""677997"""
"Crops and livestock products,""Russian Federation"",""Production"",""Grapes"",""2020"",""681908.3"""
"Crops and livestock products,""Russian Federation"",""Production"",""Grapes"",""2021"",""751503.4"""
"Crops and livestock products,""Russian Federation"",""Production"",""Green garlic"",""1992"",""68000"""
"Crops and livestock products,""Russian Federation"",""Production"",""Green garlic"",""1993"",""50000"""
"Crops and livestock products,""Russian Federation"",""Production"",""Green garlic"",""1994"",""41300"""
"Crops and livestock products,""Russian Federation"",""Production"",""Green garlic"",""1995"",""101570"""
"Crops and livestock products,""Russian Federation"",""Production"",""Green garlic"",""1996"",""122800"""
"Crops and livestock products,""Russian Federation"",""Production"",""Green garlic"",""1997"",""167275"""
"Crops and livestock products,""Russian Federation"",""Production"",""Green garlic"",""1998"",""154973"""
"Crops and livestock products,""Russian Federation"",""Production"",""Green garlic"",""1999"",""164978"""
"Crops and livestock products,""Russian Federation"",""Production"",""Green garlic"",""2000"",""178530"""
"Crops and livestock products,""Russian Federation"",""Production"",""Green garlic"",""2001"",""207683"""
"Crops and livestock products,""Russian Federation"",""Production"",""Green garlic"",""2002"",""210442"""
"Crops and livestock products,""Russian Federation"",""Production"",""Green garlic"",""2003"",""201640"""
"Crops and livestock products,""Russian Federation"",""Production"",""Green garlic"",""2004"",""219660"""
"Crops and livestock products,""Russian Federation"",""Production"",""Green garlic"",""2005"",""242445"""
"Crops and livestock products,""Russian Federation"",""Production"",""Green garlic"",""2006"",""240430"""
"Crops and livestock products,""Russian Federation"",""Production"",""Green garlic"",""2007"",""249407"""
"Crops and livestock products,""Russian Federation"",""Production"",""Green garlic"",""2008"",""226670"""
"Crops and livestock products,""Russian Federation"",""Production"",""Green garlic"",""2009"",""227271.9"""
"Crops and livestock products,""Russian Federation"",""Production"",""Green garlic"",""2010"",""213483"""
"Crops and livestock products,""Russian Federation"",""Production"",""Green garlic"",""2011"",""233948"""
"Crops and livestock products,""Russian Federation"",""Production"",""Green garlic"",""2012"",""239312"""
"Crops and livestock products,""Russian Federation"",""Production"",""Green garlic"",""2013"",""232843"""
"Crops and livestock products,""Russian Federation"",""Production"",""Green garlic"",""2014"",""256406"""
"Crops and livestock products,""Russian Federation"",""Production"",""Green garlic"",""2015"",""254876.8"""
"Crops and livestock products,""Russian Federation"",""Production"",""Green garlic"",""2016"",""202992"""
"Crops and livestock products,""Russian Federation"",""Production"",""Green garlic"",""2017"",""206074"""
"Crops and livestock products,""Russian Federation"",""Production"",""Green garlic"",""2018"",""211981"""
"Crops and livestock products,""Russian Federation"",""Production"",""Green garlic"",""2019"",""202064"""
"Crops and livestock products,""Russian Federation"",""Production"",""Green garlic"",""2020"",""189659.3"""
"Crops and livestock products,""Russian Federation"",""Production"",""Green garlic"",""2021"",""175286"""
"Crops and livestock products,""Russian Federation"",""Production"",""Groundnut oil"",""2010"",""0"""
"Crops and livestock products,""Russian Federation"",""Production"",""Groundnut oil"",""2011"",""0"""
"Crops and livestock products,""Russian Federation"",""Production"",""Groundnut oil"",""2012"",""0"""
"Crops and livestock products,""Russian Federation"",""Production"",""Groundnut oil"",""2013"",""0"""
"Crops and livestock products,""Russian Federation"",""Production"",""Groundnut oil"",""2014"",""3"""
"Crops and livestock products,""Russian Federation"",""Production"",""Groundnut oil"",""2015"",""5"""
"Crops and livestock products,""Russian Federation"",""Production"",""Groundnut oil"",""2016"",""10.2"""
"Crops and livestock products,""Russian Federation"",""Production"",""Groundnut oil"",""2017"",""19.2"""
"Crops and livestock products,""Russian Federation"",""Production"",""Groundnut oil"",""2018"",""19.88"""
"Crops and livestock products,""Russian Federation"",""Production"",""Groundnut oil"",""2019"",""77"""
"Crops and livestock products,""Russian Federation"",""Production"",""Groundnut oil"",""2020"",""0.38"""
"Crops and livestock products,""Russian Federation"",""Production"",""Hazelnuts, in shell"",""1992"",""0"""
"Crops and livestock products,""Russian Federation"",""Production"",""Hazelnuts, in shell"",""1993"",""0"""
"Crops and livestock products,""Russian Federation"",""Production"",""Hazelnuts, in shell"",""1994"",""0"""
"Crops and livestock products,""Russian Federation"",""Production"",""Hazelnuts, in shell"",""1995"",""0"""
"Crops and livestock products,""Russian Federation"",""Production"",""Hazelnuts, in shell"",""1996"",""0"""
"Crops and livestock products,""Russian Federation"",""Production"",""Hazelnuts, in shell"",""1997"",""0"""
"Crops and livestock products,""Russian Federation"",""Production"",""Hazelnuts, in shell"",""1998"",""0"""
"Crops and livestock products,""Russian Federation"",""Production"",""Hazelnuts, in shell"",""1999"",""0"""
"Crops and livestock products,""Russian Federation"",""Production"",""Hazelnuts, in shell"",""2000"",""0"""
"Crops and livestock products,""Russian Federation"",""Production"",""Hazelnuts, in shell"",""2001"",""0"""
"Crops and livestock products,""Russian Federation"",""Production"",""Hazelnuts, in shell"",""2002"",""0"""
"Crops and livestock products,""Russian Federation"",""Production"",""Hazelnuts, in shell"",""2003"",""0"""
"Crops and livestock products,""Russian Federation"",""Production"",""Hazelnuts, in shell"",""2004"",""0"""
"Crops and livestock products,""Russian Federation"",""Production"",""Hazelnuts, in shell"",""2005"",""0"""
"Crops and livestock products,""Russian Federation"",""Production"",""Hazelnuts, in shell"",""2006"",""0"""
"Crops and livestock products,""Russian Federation"",""Production"",""Hazelnuts, in shell"",""2007"",""0"""
"Crops and livestock products,""Russian Federation"",""Production"",""Hazelnuts, in shell"",""2008"",""0"""
"Crops and livestock products,""Russian Federation"",""Production"",""Hazelnuts, in shell"",""2009"",""0"""
"Crops and livestock products,""Russian Federation"",""Production"",""Hazelnuts, in shell"",""2010"",""0"""
"Crops and livestock products,""Russian Federation"",""Production"",""Hazelnuts, in shell"",""2011"",""0"""
"Crops and livestock products,""Russian Federation"",""Production"",""Hazelnuts, in shell"",""2012"",""0"""
"Crops and livestock products,""Russian Federation"",""Production"",""Hazelnuts, in shell"",""2013"",""0"""
"Crops and livestock products,""Russian Federation"",""Production"",""Hazelnuts, in shell"",""2014"",""0"""
"Crops and livestock products,""Russian Federation"",""Production"",""Hazelnuts, in shell"",""2015"",""0"""
"Crops and livestock products,""Russian Federation"",""Production"",""Hazelnuts, in shell"",""2016"",""0"""
"Crops and livestock products,""Russian Federation"",""Production"",""Hazelnuts, in shell"",""2017"",""0"""
"Crops and livestock products,""Russian Federation"",""Production"",""Hazelnuts, in shell"",""2018"",""0"""
"Crops and livestock products,""Russian Federation"",""Production"",""Hazelnuts, in shell"",""2019"",""0"""
"Crops and livestock products,""Russian Federation"",""Production"",""Hazelnuts, in shell"",""2020"",""0"""
"Crops and livestock products,""Russian Federation"",""Production"",""Hazelnuts, in shell"",""2021"",""0"""
"Crops and livestock products,""Russian Federation"",""Production"",""Hempseed"",""1992"",""2650"""
"Crops and livestock products,""Russian Federation"",""Production"",""Hempseed"",""1993"",""1600"""
"Crops and livestock products,""Russian Federation"",""Production"",""Hempseed"",""1994"",""240"""
"Crops and livestock products,""Russian Federation"",""Production"",""Hempseed"",""1995"",""1120"""
"Crops and livestock products,""Russian Federation"",""Production"",""Hempseed"",""1996"",""350"""
"Crops and livestock products,""Russian Federation"",""Production"",""Hempseed"",""1997"",""300"""
"Crops and livestock products,""Russian Federation"",""Production"",""Hempseed"",""1998"",""430"""
"Crops and livestock products,""Russian Federation"",""Production"",""Hempseed"",""1999"",""820"""
"Crops and livestock products,""Russian Federation"",""Production"",""Hempseed"",""2000"",""1300"""
"Crops and livestock products,""Russian Federation"",""Production"",""Hempseed"",""2001"",""430"""
"Crops and livestock products,""Russian Federation"",""Production"",""Hempseed"",""2002"",""170"""
"Crops and livestock products,""Russian Federation"",""Production"",""Hempseed"",""2003"",""200"""
"Crops and livestock products,""Russian Federation"",""Production"",""Hempseed"",""2004"",""180"""
"Crops and livestock products,""Russian Federation"",""Production"",""Hempseed"",""2005"",""250"""
"Crops and livestock products,""Russian Federation"",""Production"",""Hempseed"",""2006"",""100"""
"Crops and livestock products,""Russian Federation"",""Production"",""Hempseed"",""2007"",""150"""
"Crops and livestock products,""Russian Federation"",""Production"",""Hempseed"",""2008"",""331"""
"Crops and livestock products,""Russian Federation"",""Production"",""Hempseed"",""2009"",""40"""
"Crops and livestock products,""Russian Federation"",""Production"",""Hempseed"",""2010"",""71"""
"Crops and livestock products,""Russian Federation"",""Production"",""Hempseed"",""2011"",""133"""
"Crops and livestock products,""Russian Federation"",""Production"",""Hempseed"",""2012"",""245"""
"Crops and livestock products,""Russian Federation"",""Production"",""Hempseed"",""2013"",""516.2"""
"Crops and livestock products,""Russian Federation"",""Production"",""Hempseed"",""2014"",""520.2"""
"Crops and livestock products,""Russian Federation"",""Production"",""Hempseed"",""2015"",""275.3"""
"Crops and livestock products,""Russian Federation"",""Production"",""Hempseed"",""2016"",""589"""
"Crops and livestock products,""Russian Federation"",""Production"",""Hempseed"",""2017"",""1078"""
"Crops and livestock products,""Russian Federation"",""Production"",""Hempseed"",""2018"",""2117"""
"Crops and livestock products,""Russian Federation"",""Production"",""Hempseed"",""2019"",""2892.9"""
"Crops and livestock products,""Russian Federation"",""Production"",""Hempseed"",""2020"",""3128.1"""
"Crops and livestock products,""Russian Federation"",""Production"",""Hempseed"",""2021"",""3239.7"""
"Crops and livestock products,""Russian Federation"",""Production"",""Hop cones"",""1992"",""2920"""
"Crops and livestock products,""Russian Federation"",""Production"",""Hop cones"",""1993"",""3870"""
"Crops and livestock products,""Russian Federation"",""Production"",""Hop cones"",""1994"",""1570"""
"Crops and livestock products,""Russian Federation"",""Production"",""Hop cones"",""1995"",""2130"""
"Crops and livestock products,""Russian Federation"",""Production"",""Hop cones"",""1996"",""1606"""
"Crops and livestock products,""Russian Federation"",""Production"",""Hop cones"",""1997"",""871"""
"Crops and livestock products,""Russian Federation"",""Production"",""Hop cones"",""1998"",""622"""
"Crops and livestock products,""Russian Federation"",""Production"",""Hop cones"",""1999"",""963"""
"Crops and livestock products,""Russian Federation"",""Production"",""Hop cones"",""2000"",""926"""
"Crops and livestock products,""Russian Federation"",""Production"",""Hop cones"",""2001"",""602"""
"Crops and livestock products,""Russian Federation"",""Production"",""Hop cones"",""2002"",""595"""
"Crops and livestock products,""Russian Federation"",""Production"",""Hop cones"",""2003"",""518"""
"Crops and livestock products,""Russian Federation"",""Production"",""Hop cones"",""2004"",""472"""
"Crops and livestock products,""Russian Federation"",""Production"",""Hop cones"",""2005"",""390"""
"Crops and livestock products,""Russian Federation"",""Production"",""Hop cones"",""2006"",""355"""
"Crops and livestock products,""Russian Federation"",""Production"",""Hop cones"",""2007"",""279"""
